0.137,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.142,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.143,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.147,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.148,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.148,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.15,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.151,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.152,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.16,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.162,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.165,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.166,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.167,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.168,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.169,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.174, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.177, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.179, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.18, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.183, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.184, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.185, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.186, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.187, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.194, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.195, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.196, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.197, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.201,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.203,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.204,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.204,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.21,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.212,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.213,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.214,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.215,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.218,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.221,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.223,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.227,-0.0432742  -0.397325    -41.585,0 0 0,0 0 0,0.0919546 -0.199385   -44.017
0.23,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.231,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.232,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.234,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.235,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.236,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.239,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.244,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.245,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.246,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.248,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.249,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.25,-0  0  0,-0.556661  -1.40204  -41.4888,-0.463791  -1.52095  -47.3804,-0  0  0
0.252,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.253,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.26,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.261,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.263,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.264,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.265,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.273,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.274,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.275,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.277,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.279,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
