0,0 0 0,1 1 0,0 0 0,0 0 1
0.15,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.151,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.158,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.158,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.159,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.16,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.161,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.162,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.163,0.447652  1.49831 -39.6991,0 0 0,0 0 0,0.564917  1.66174 -44.4428
0.166,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.174,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.175,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.176,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.177,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.178,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.179,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.18,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.181,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.191,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.193,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.195,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.196,0.0310969  0.569403  -38.6293,0 0 0,0 0 0,0.374499   1.0937 -43.0448
0.199,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.201,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.202,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.203,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.208,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.209,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.21,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.211,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.212,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.212,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.213,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
