0.127,0.121744  1.76658 -44.2437,0 0 0,0 0 0,0.283119  2.00091 -49.2939
0.133,0.121744  1.76658 -44.2437,0 0 0,0 0 0,0.283119  2.00091 -49.2939
0.134,0.121744  1.76658 -44.2437,0 0 0,0 0 0,0.283119  2.00091 -49.2939
0.135,0.121744  1.76658 -44.2437,0 0 0,0 0 0,0.283119  2.00091 -49.2939
0.141,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.142,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.143,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.144,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.146,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.149,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.151,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.152,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.154,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.156,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.157,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.159,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.16,0.389724  1.58139 -41.1533,0 0 0,0 0 0,0.511207  1.74087 -46.3624
0.166,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.168,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.17,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.172,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.174,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.175,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.177,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.179,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.183,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.184,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.186,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.187,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.189,0.306928 0.703376 -40.3367,0 0 0,0 0 0,0.451009 0.900766    -44.7
0.193,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.195,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.197,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.2,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.2,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.202,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.204,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.205,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.207,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.208,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.21,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.216,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.218,-0.0469896   -0.38383   -41.6588,0 0 0,0 0 0,0.0764475 -0.203096  -43.9772
0.222,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
