0.122,0.198103  1.78891 -44.4276,0 0 0,0 0 0,0.273329  1.88846 -49.0427
0.123,0.198103  1.78891 -44.4276,0 0 0,0 0 0,0.273329  1.88846 -49.0427
0.133,0.198103  1.78891 -44.4276,0 0 0,0 0 0,0.273329  1.88846 -49.0427
0.134,0.198103  1.78891 -44.4276,0 0 0,0 0 0,0.273329  1.88846 -49.0427
0.138,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.141,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.142,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.143,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.144,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.145,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.151,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.152,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.153,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.155,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.157,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.158,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.164,0.383461  1.51238  -39.086,0 0 0,0 0 0,0.555396  1.76307 -43.8615
0.168,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.169,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.17,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.171,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.172,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.173,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.174,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.175,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.176,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.185,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.193,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.195,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.197,-0.032623  0.527557  -38.0562,0 0 0,0 0 0,0.362605  1.13448 -42.5888
0.2, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.202, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.203, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.203, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.204, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.205, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.206, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.207, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.208, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.209, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.21, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.211, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.219, -0.38821 -0.426572  -40.1741,0 0 0,0 0 0,-0.168636 -0.102379  -43.6895
0.223,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.224,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.226,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.227,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.228,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.229,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.23,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.236,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.237,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.238,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.239,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.24,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.243,-0  0  0,-0.337544  -1.65717  -42.3844,-0.281422  -1.73889   -48.454,-0  0  0
0.246,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.247,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.252,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.253,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.254,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.255,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.256,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.257,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.257,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.258,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.269,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.27,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.271,-0  0  0,-0.237844  -1.97473  -50.7885, -1.67733 -0.178621  -53.2296,-0  0  0
0.274, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.275, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.276, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.277, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.278, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.286, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.288, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.289, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.29, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.291, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
