output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15
1.10569,-0.158159,0.213,1.13871,0.121774,0.213,0.755279,-0.151969,0.105,0.739297,0.139083,0.105,0.197323,-0.00618399,0.0320197
1.10549,-0.158078,0.213,1.13884,0.121839,0.213,0.755458,-0.151958,0.105,0.739061,0.139113,0.105,0.197319,-0.00615667,0.0320511
1.10544,-0.157975,0.213,1.13914,0.121926,0.213,0.755798,-0.151922,0.105,0.738988,0.139168,0.105,0.197314,-0.00613036,0.0320867
1.10531,-0.157889,0.213,1.13935,0.121995,0.213,0.756056,-0.151902,0.105,0.738835,0.139206,0.105,0.197308,-0.00610457,0.0321258
1.10519,-0.1578,0.213,1.13957,0.122069,0.213,0.75632,-0.151879,0.105,0.738689,0.139248,0.105,0.197302,-0.00607906,0.0321681
1.10506,-0.157711,0.213,1.13979,0.122142,0.213,0.756583,-0.151854,0.105,0.738544,0.139291,0.105,0.197296,-0.00605411,0.0322134
1.10495,-0.157623,0.213,1.14001,0.122214,0.213,0.756854,-0.15183,0.105,0.738409,0.139333,0.105,0.197288,-0.00602966,0.0322623
1.10482,-0.157535,0.213,1.14023,0.122286,0.213,0.757116,-0.151804,0.105,0.738265,0.139378,0.105,0.197281,-0.0060061,0.0323139
1.10467,-0.157425,0.213,1.14043,0.122382,0.213,0.757358,-0.151755,0.105,0.738105,0.139444,0.105,0.197273,-0.00598215,0.0323649
1.10457,-0.157361,0.213,1.14067,0.12243,0.213,0.757642,-0.15175,0.105,0.737987,0.139467,0.105,0.197264,-0.00595993,0.0324215
1.10444,-0.157269,0.213,1.14089,0.122506,0.213,0.757903,-0.151716,0.105,0.73785,0.139519,0.105,0.197255,-0.00593851,0.0324806
1.10432,-0.157182,0.213,1.14111,0.122577,0.213,0.758174,-0.151685,0.105,0.737723,0.139568,0.105,0.197246,-0.00591796,0.0325428
1.10421,-0.157085,0.213,1.14136,0.122658,0.213,0.758463,-0.151643,0.105,0.737615,0.139628,0.105,0.197236,-0.00589815,0.0326066
1.10415,-0.15698,0.213,1.14164,0.122748,0.213,0.758786,-0.151592,0.105,0.737543,0.139697,0.105,0.197226,-0.00587815,0.0326723
